,pdfsize,metadata size,page,objects,title characters,isEncrypted,embedded files,images,	header,obj,endobj,stream,endstrean,xref,trailer,startxref,pageno,encrypt,ObjStm,JS,Javascript,AA,OpenAction,Acroform,JBIG2Decode,RichMedia,launch,EmbeddedFile,XFA,Colors
0,8,180,1,11,0,0,0,0,	%PDF-1.3,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
1,15,224,0,20,7,0,0,0,	%PDF-1.6,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,>,,
2,4,468,2,13,16,0,0,0,	%PDF-1.3,12,12,3,3,1,1,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,>,,
3,12,180,1,9,0,0,0,0,	%PDF-\x07.3,8,7,2,2,1,1,1,1,0,0,1(1),1,0,1,0,0,0,0,0,0,0,>,,
4,8,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
5,16,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
6,17,250,1,15,0,0,0,0,	%PDF-1.3,14,14,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,>,,
7,306,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
8,9,180,1,9,0,0,0,0,	%PDF-\x07.3,8,8,2,2,1,1,1,1,0,0,1(1),1,0,1,0,0,0,0,0,0,0,>,,
9,14,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
10,7,252,3,16,45,0,0,0,	%PDF-1.3,15,15,4,4,1,1,1,3,0,0,1,2,0,1,0,0,0,0,0,0,0,>,,
11,8,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
12,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
13,1,180,1,111113,0,0,0,0,	%PDF-1.0,9,9,2,2,0,1,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,>,,
14,39,180,1,6,0,0,0,0,	%PDF-1.0,5,5,0,0,1,1,1,1,0,0,1(1),1(1),0,1(1),0,0,0,0,0,0,0,>,,
15,14,224,0,20,7,0,0,0,	%PDF-1.6,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,>,,
16,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
17,2048,291,1,27,3,0,0,0,	%PDF-1.5,29,29,6,6,3,3,3,1,0,0,2,3,0,0,2,0,0,0,0,0,0,>,,
18,94,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
19,6,250,1,15,0,0,0,0,	%PDF-1.3,14,14,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,>,,
20,15,224,0,20,7,0,0,0,	%PDF-1.6,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,>,,
